,title,company,location,salary,summary
0,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
1,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
2,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
3,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
4,Data Science Inter,LeapGrad Corp.,"Toronto, ON•Temporarily Remote",,"Ability to data extract, transform, and load processes with a variety of data types.Ability to perform complex data analysis on large volumes of data and…"
5,Data Science - Trading,CPQi,"Halifax, NS+1 location•Remote","$120,000 a year","Knowledgeable about best practices around data manipulation, data storage, and data visualizations.Showing a willingness and ability to help build data science…"
6,Data Science – 4 Month Co-Op/Internship (Winter 2022),Intact,"Vancouver, BC+2 locations",,"Get experience working with different types of data including telematics, text data and image data.Practical experience in data science, Machine Learning or…"
7,Data Scientist - 05/12/21,Acerta Analytics Solutions Inc,"Kitchener, ON","$90,000 - $115,000 a year",Minimum of 3 - 5 years of data science experience using python.Experience with time-series and operations data is an asset.Available in office full-time (KW).
8,Data Science & Analytics Masters - New Grad Leadership Devel...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about technology, data science, analytical models, machine learning, quantitative modelling, software development and automation."
9,Data Science Instructor,Fanavaran,"Mississauga, ON•Remote","$54,602 - $119,129 a year","Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R…"
10,Data Scientist - Vretta Inc.,The Career Foundation,"Toronto, ON",,"Demonstrated statistical, machine learning, and data science skills.Must have at least three years of experience in an applied data science role."
11,Data Scientist,Billi,"Victoria, BC•Remote","$80,000 - $100,000 a year","Demonstrated statistical, machine learning, and data science skills.Acting as the primary source of expertise on machine learning and owning the data science…"
12,Data Science and Analytics - New Grad Leadership Development...,Rogers Communications,"Brampton, ON•Temporarily Remote",,"Passionate about analytical and statistical modeling, data science, machine learning, data visualization and deriving knowledge from raw data in general."
13,Data Analyst,Sonic Incytes Medical Corp.,"Vancouver, BC•Temporarily Remote","$60,000 - $90,000 a year","Technical expertise & knowledge in data mining, data models, analysis, and reporting.Designing and maintaining data systems / databases, focused on competitive…"
14,Data Science Instructor,Journey Education,Canada•Remote,"$10,000 - $15,000 a month","As a data science instructor you will be responsible for leading lectures on various topics, assigning course work, grading, and mentoring students on a 1-1…"
15,Data Scientist,Canexia Health Inc.,"Vancouver, BC•Remote","$53,348 - $129,295 a year","Education: You hold a Master’s degree in bioinformatics, data science, biostatistics, or.Prepare statistically motivated plots of mutation data for…"
16,ML Engineer (Remote Only),Translucent Computing,"Quebec City, QC•Remote",,"Orchestrate access of data from code or raw data sources via data pipeline.Enable continuous delivery of data by automating data governance, integration and…"
17,Deep Learning / Data Science Inter,Zighra (Techstars company),"Ottawa, ON•Remote",$35 an hour,"Zighra transforms mobile sensor data into human-relatable intelligence, and hence this project sits at the heart of its technology."
18,Data / Imaging Scientist,Tailored Management,"Mississauga, ON•Temporarily Remote",$56 - $66 an hour,Product development experience with a focus on data analysis preferred.Implements or modifies existing algorithms to analyze histopathology images and data.
